Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 60 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 50 candles from Bitunix for ETHUSDT
Apr 13 06:37:15 vmi3177971 python3[490155]: Γ£à Got 100 candles from Bitunix for ETHUSDT
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,724 - app.scalping_engine - INFO - [Scalping:7675185179] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,726 - app.scalping_engine - INFO - [Scalping:7972497694] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,727 - app.scalping_engine - INFO - [Scalping:1156155004] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,728 - app.scalping_engine - INFO - [Scalping:1306878013] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,730 - app.scalping_engine - INFO - [Scalping:1969755249] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,730 - app.scalping_engine - INFO - [Scalping:1265990951] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,731 - app.scalping_engine - INFO - [Scalping:5874734020] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,732 - app.scalping_engine - INFO - [Scalping:2107355248] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,732 - app.scalping_engine - INFO - [Scalping:5187148337] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,752 - app.scalping_engine - INFO - [Scalping:7338184122] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,753 - app.scalping_engine - INFO - [Scalping:6954315669] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,754 - app.scalping_engine - INFO - [Scalping:5366384434] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,755 - app.scalping_engine - INFO - [Scalping:8429733088] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,757 - app.scalping_engine - INFO - [Scalping:1187119989] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,757 - app.scalping_engine - INFO - [Scalping:985106924] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,759 - app.scalping_engine - INFO - [Scalping:7582955848] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,760 - app.scalping_engine - INFO - [Scalping:312485564] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,761 - app.scalping_engine - INFO - [Scalping:1766523174] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
Apr 13 06:37:55 vmi3177971 python3[490155]: 2026-04-13 06:37:55,762 - app.scalping_engine - INFO - [Scalping:1087836223] ETHUSDT SIDEWAYS detected: SIDEWAYS: ATR_relative=0.1049% < 0.3%; EMA_spread=0.0156% < 0.2%; Range_width=0.3614% < 1.5%
